x	y	w	h
268	8	139	4
204	216	403	4
-288	275	319	4
260	182	403	4
228	29	403	4
-376	373	403	4
24	381	399	4
48	351	403	4
184	190	343	4
-244	258	403	4
72	42	403	4
96	305	403	4
16	63	231	4
196	148	379	4
216	38	403	4
-80	118	403	4
0	67	403	4
68	50	403	4
144	233	271	4
300	156	359	4
-116	161	255	4
-216	237	315	4
-172	199	343	4
-100	139	403	4
68	46	403	4
312	152	403	4
112	296	403	4
28	373	403	4
152	228	351	4
172	250	403	4
60	334	403	4
68	241	403	4
-360	347	403	4
212	97	403	4
-240	254	403	4
12	195	403	4
152	224	387	4
-40	93	383	4
-180	203	403	4
-304	292	403	4
180	199	355	4
372	122	403	4
-104	152	403	4
-216	233	359	4
-240	250	403	4
-340	330	403	4
188	161	403	4
60	275	403	4
364	131	191	4
-272	271	403	4
88	317	195	4
168	254	403	4
-52	105	339	4
32	364	123	4
324	144	403	4
56	339	403	4
180	245	403	4
44	356	403	4
-268	267	403	4
-352	343	403	4
-380	381	403	4
20	55	403	4
-116	165	403	4
-8	72	379	4
-92	131	403	4
-324	313	403	4
-236	245	403	4
68	326	363	4
-344	334	403	4
-148	186	403	4
116	288	379	4
44	360	403	4
-360	351	403	4
224	33	403	4
-296	279	395	4
-204	220	403	4
240	16	403	4
-348	339	379	4
-336	326	403	4
-312	300	403	4
-300	288	403	4
188	173	387	4
264	178	403	4
284	317	403	4
256	186	403	4
168	258	347	4
-368	356	403	4
-248	262	391	4
56	343	403	4
64	330	403	4
-312	305	403	4
200	220	403	4
-212	224	315	4
240	21	403	4
-104	144	403	4
268	12	403	4
-180	207	399	4
-304	296	403	4
132	271	403	4
16	59	331	4
-376	368	403	4
220	207	403	4
-60	114	403	4
-108	156	403	4
-16	84	403	4
-104	148	255	4
96	313	403	4
-380	377	403	4
136	267	403	4
-148	182	399	4
248	63	199	4
292	165	367	4
-300	284	403	4
-144	178	403	4
-200	216	403	4
112	292	403	4
32	368	403	4
224	203	403	4
-212	228	351	4
-44	97	151	4
292	105	403	4
208	101	403	4
-196	211	275	4
128	279	403	4
368	127	403	4
76	322	379	4
16	169	403	4
-56	110	403	4
-384	385	403	4
128	284	403	4
-236	241	279	4
68	135	403	4
28	377	403	4
-44	101	183	4
160	364	343	4
-12	80	403	4
-172	195	179	4
112	300	399	4
236	25	403	4
-328	322	403	4
52	347	403	4
-168	190	243	4
180	211	403	4
-8	76	279	4
-100	135	139	4
-368	360	403	4
324	139	403	4
96	309	387	4
-328	317	403	4
-372	364	403	4
136	237	399	4
-140	173	235	4
-136	169	139	4
-320	309	403	4
268	4	375	4
20	385	403	4
-88	122	403	4
-24	89	403	4
144	262	311	4
-92	127	403	4
