x	y	w	h
-244	213	403	3
-60	34	403	3
268	232	403	3
-44	25	403	3
-148	110	403	3
-104	72	403	3
-8	6	403	3
196	270	403	3
-100	69	403	3
60	355	139	3
-292	264	403	3
-148	106	403	3
-316	289	403	3
-260	245	403	3
168	289	403	3
-244	217	403	3
-184	144	403	3
-304	279	403	3
-348	305	403	3
40	371	403	3
-56	31	403	3
-28	22	359	3
-256	223	403	3
232	254	403	3
-236	201	403	3
148	298	403	3
-224	195	403	3
-392	374	403	3
140	301	403	3
-256	229	403	3
-64	44	215	3
-132	91	403	3
-352	311	403	3
-356	330	403	3
228	261	403	3
-8	9	139	3
-76	53	403	3
-364	342	403	3
332	201	403	3
228	257	403	3
232	248	283	3
-64	40	139	3
84	339	403	3
-360	333	399	3
-4	3	139	3
-96	66	403	3
-204	176	403	3
28	377	403	3
-236	204	403	3
-256	232	403	3
108	320	403	3
396	163	403	3
116	311	403	3
64	349	239	3
368	176	403	3
-256	226	403	3
212	267	403	3
188	276	403	3
-208	182	403	3
-60	37	403	3
344	188	403	3
-364	352	403	3
-108	75	403	3
184	283	403	3
240	245	403	3
-276	254	403	3
-92	62	403	3
-400	386	403	3
376	172	403	3
180	286	403	3
-124	84	139	3
100	327	403	3
-308	286	403	3
288	229	403	3
-368	355	403	3
80	342	403	3
312	207	335	3
-136	97	403	3
-164	119	403	3
264	239	403	3
-328	292	403	3
336	195	403	3
-112	78	403	3
-260	248	403	3
-372	364	403	3
268	235	403	3
188	279	403	3
-364	349	403	3
-352	308	403	3
316	305	403	3
336	198	315	3
-364	345	403	3
-192	154	403	3
-68	47	355	3
-244	220	399	3
-172	128	391	3
-136	100	403	3
64	352	403	3
-200	172	403	3
-136	94	403	3
304	213	403	3
100	323	403	3
84	336	403	3
-360	339	395	3
-396	383	403	3
-256	235	403	3
100	330	403	3
160	292	403	3
-80	59	403	3
-172	135	403	3
-356	327	399	3
244	242	403	3
-344	301	403	3
-160	113	403	3
-240	210	403	3
292	226	403	3
-216	185	403	3
-240	207	403	3
96	333	403	3
-196	166	403	3
-344	298	403	3
200	355	403	3
-20	15	403	3
-304	276	403	3
112	317	403	3
-388	367	403	3
-220	191	403	3
-80	56	403	3
-164	116	403	3
364	179	403	3
-172	122	403	3
16	386	403	3
-48	28	403	3
-76	50	403	3
-300	267	403	3
-176	141	403	3
24	383	403	3
-204	179	339	3
-12	12	403	3
68	345	403	3
-360	336	375	3
-176	138	403	3
-304	273	403	3
-116	81	119	3
380	169	403	3
-196	163	403	3
-200	169	319	3
340	191	403	3
-260	242	403	3
-356	320	403	3
-172	132	403	3
-192	157	403	3
-352	314	403	3
296	223	403	3
360	182	403	3
56	361	403	3
-132	88	403	3
-272	251	403	3
-216	188	379	3
304	210	403	3
-300	270	403	3
-392	380	403	3
352	185	403	3
-148	103	403	3
-172	125	403	3
40	367	403	3
-392	377	403	3
328	204	403	3
-256	239	403	3
112	314	403	3
-288	257	403	3
-188	150	403	3
-196	160	403	3
-372	361	403	3
132	305	183	3
-288	261	403	3
-356	317	403	3
304	217	403	3
-388	371	403	3
-328	295	403	3
232	251	403	3
120	308	403	3
-224	198	403	3
300	220	403	3
52	364	403	3
304	349	403	3
388	166	399	3
-372	358	403	3
28	380	403	3
-24	18	403	3
-308	283	379	3
228	264	175	3
196	273	279	3
156	295	403	3
40	374	403	3
-184	147	403	3
60	358	379	3
-356	323	403	3
